method,env,T,seed,checkpoint,score,n_source_rows,n_valid_rows,n_sampled_rows,d_critic_current,d_final_current,d_target_deterministic,d_target_smoothed,current_state_proxy,polyak_lag,target_noise_draws,n_nan,n_inf
td3,halfcheetah-expert-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau4_seed0/params_1000000.pkl,85.44870116371672,1000000,999000,4096,0.029831959728403114,0.030246564312601747,0.030213798819925586,0.05664173169578928,0.029831959708621025,0.0005164186363881727,64,0,0
mpi2,halfcheetah-expert-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-expert-v2_tau4_mpi2_seed0/params_1000000.pkl,73.1934480052107,1000000,999000,4096,0.02675766809535115,0.03223813668669803,0.02727752876162981,0.05468939179802855,0.026757668137940088,0.0004904428959576377,64,0,0
mpi3,halfcheetah-expert-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-expert-v2_tau4_mpi3_seed0/params_1000000.pkl,76.21252927284526,1000000,999000,4096,0.026133848142984063,0.0308963274040079,0.026596130716477262,0.05483940364118415,0.02613384811979584,0.0004849831457513378,64,0,0
td3,halfcheetah-expert-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau4_seed1/params_1000000.pkl,76.64147535689759,1000000,999000,4096,0.029666610096484382,0.030096497734805248,0.03050656614580305,0.0564858463103376,0.029666610145862304,0.0005240184856781763,64,0,0
mpi2,halfcheetah-expert-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-expert-v2_tau4_mpi2_seed1/params_1000000.pkl,69.72857299916654,1000000,999000,4096,0.026929844106794342,0.03237070890523969,0.027408118563105432,0.05494875410975936,0.02692984408647895,0.0004782772288774268,64,0,0
mpi3,halfcheetah-expert-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-expert-v2_tau4_mpi3_seed1/params_1000000.pkl,79.29617372110029,1000000,999000,4096,0.026080507987177245,0.03151584699448266,0.026631938284104706,0.05472219230535408,0.026080507956904517,0.00040899734629766906,64,0,0
td3,halfcheetah-expert-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau7_seed0/params_1000000.pkl,5.788996393931056,1000000,999000,4096,0.05581177021674558,0.05601036872129636,0.0568496944630823,0.07800909013315906,0.05581177019870849,0.0006138935729851187,64,0,0
mpi2,halfcheetah-expert-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-expert-v2_tau7_mpi2_seed0/params_1000000.pkl,44.18664980849557,1000000,999000,4096,0.030319242438569108,0.04156404320758361,0.03056796055953015,0.05698189505951648,0.030319242444004205,0.0005368048201163058,64,0,0
mpi3,halfcheetah-expert-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-expert-v2_tau7_mpi3_seed0/params_1000000.pkl,39.440023164729986,1000000,999000,4096,0.02750138793206772,0.036835352979796204,0.027938840911776452,0.05532374073691429,0.02750138792242509,0.00044237300320475214,64,0,0
td3,halfcheetah-expert-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau7_seed1/params_1000000.pkl,49.776230811002584,1000000,999000,4096,0.0368782180092689,0.03667010731517244,0.03730191773559355,0.06168076051161439,0.036878217950022475,0.0008562389892308174,64,0,0
mpi2,halfcheetah-expert-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-expert-v2_tau7_mpi2_seed1/params_1000000.pkl,51.47438427980925,1000000,999000,4096,0.02928777252025705,0.0387077915256177,0.029650058109730537,0.056165540414419964,0.029287772503683057,0.0005294923850732783,64,0,0
mpi3,halfcheetah-expert-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-expert-v2_tau7_mpi3_seed1/params_1000000.pkl,39.43114229733208,1000000,999000,4096,0.027168465664823928,0.036739203201182916,0.02762789366129681,0.054866872977899106,0.02716846566663706,0.0005006634110963439,64,0,0
td3,halfcheetah-expert-v2,10.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau10_seed0/params_1000000.pkl,1.2699050623327197,1000000,999000,4096,0.08800718322986237,0.08754978927561057,0.08827584364581043,0.10897049075169707,0.08800718321170883,0.0019000124049081604,64,0,0
mpi2,halfcheetah-expert-v2,10.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-expert-v2_tau10_mpi2_seed0/params_1000000.pkl,34.10066369410213,1000000,999000,4096,0.03409168934396099,0.048519077906855224,0.03495570843627149,0.06069213403542463,0.034091689320272844,0.0008091051350425803,64,0,0
mpi3,halfcheetah-expert-v2,10.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-expert-v2_tau10_mpi3_seed0/params_1000000.pkl,20.74356091445695,1000000,999000,4096,0.028684669580610174,0.041397454691347216,0.029398688200732437,0.055974352018367216,0.02868466965107263,0.00043806708306790606,64,0,0
td3,halfcheetah-expert-v2,10.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau10_seed1/params_1000000.pkl,14.959409101106091,1000000,999000,4096,0.04475205581809956,0.04665958229116529,0.045227106601110734,0.06807538817857484,0.04475205576791553,0.0011407077783479958,64,0,0
mpi2,halfcheetah-expert-v2,10.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-expert-v2_tau10_mpi2_seed1/params_1000000.pkl,25.264524757871815,1000000,999000,4096,0.0420276172856817,0.06336746728362264,0.041966906013712446,0.06656399871798044,0.04202761728037241,0.0005167197229180463,64,0,0
mpi3,halfcheetah-expert-v2,10.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-expert-v2_tau10_mpi3_seed1/params_1000000.pkl,38.50823608022746,1000000,999000,4096,0.029314720778945882,0.04738877875602989,0.030343913059571292,0.056804329470045344,0.029314720756176235,0.000548590714495486,64,0,0
td3,halfcheetah-expert-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau14_seed0/params_1000000.pkl,2.1022109021440114,1000000,999000,4096,0.07620571228508316,0.07875984009335676,0.07587232688543111,0.09663492271426455,0.07620571226522241,0.0010633872305684969,64,0,0
mpi2,halfcheetah-expert-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-expert-v2_tau14_mpi2_seed0/params_1000000.pkl,3.824544202286786,1000000,999000,4096,0.051131457862226094,0.08002316928460262,0.050562930235948045,0.07358636726992215,0.05113145785611313,0.0006235503227222679,64,0,0
mpi3,halfcheetah-expert-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-expert-v2_tau14_mpi3_seed0/params_1000000.pkl,6.599847012469332,1000000,999000,4096,0.03509937106496605,0.0648790468813476,0.035600391515259844,0.06116115734465262,0.035099371061103314,0.0005391560146066421,64,0,0
