environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
hopper-medium-replay-v2,1,7.0,mpi1,mpi4,0.9411158973624258,0.8961359534166484,1.0501932142933055,0.5435961866742078,512
hopper-medium-replay-v2,1,10.0,mpi1,mpi4,0.8566385855899746,0.856553083626046,1.0000998209749787,0.5700671012520787,512
hopper-medium-replay-v2,1,14.0,mpi1,mpi4,0.9177874158119943,0.8637034558186361,1.0626186680497838,0.6035302275870373,512
hopper-medium-replay-v2,1,17.0,mpi1,mpi4,0.8349069806191567,0.8540835089235538,0.977547244380627,0.6212735657806905,512
hopper-medium-replay-v2,1,20.0,mpi1,mpi4,0.8771571950609138,0.8675569305605539,1.0110658611120273,0.6855560911474349,512
hopper-expert-v2,0,0.05,mpi1,mpi2,1.8256793353721013,1.591540002764461,1.0395088072092347,1.147114952939258,512
hopper-expert-v2,0,0.05,mpi1,mpi4,1.003167501960923,0.9650399255915136,1.0395088072092347,0.2519760715588468,512
hopper-expert-v2,0,0.05,mpi2,mpi4,1.121339799365761,0.9775304528047053,1.147114952939258,0.2519760715588468,512
hopper-expert-v2,0,0.1,mpi1,mpi2,1.7137594264811213,1.4568812844539962,1.176320572422891,1.0726423113204775,512
hopper-expert-v2,0,0.1,mpi1,mpi4,1.1522734102126952,0.9795573054030117,1.176320572422891,0.25133557633285486,512
hopper-expert-v2,0,0.1,mpi2,mpi4,1.0290268562102565,0.9593383044376386,1.0726423113204775,0.25133557633285486,512
hopper-expert-v2,0,0.2,mpi1,mpi4,1.1266943560621376,0.9852894439669383,1.143516113930826,0.25005529912220054,512
hopper-expert-v2,0,0.4,mpi1,mpi4,1.0043628518234855,0.9657379740317144,1.0399951941731378,0.2508645966392648,512
hopper-expert-v2,1,0.05,mpi1,mpi2,1.651230600959203,1.5175705413430138,1.0880750225277194,1.024358923978829,512
hopper-expert-v2,1,0.05,mpi1,mpi4,1.0519025697674618,0.9667555526858571,1.0880750225277194,0.2498098443811284,512
hopper-expert-v2,1,0.05,mpi2,mpi4,0.9820059993744711,0.958654214247629,1.024358923978829,0.2498098443811284,512
hopper-expert-v2,1,0.1,mpi1,mpi2,1.1690832358260095,1.0886143163969548,1.0739186672607677,1.043191900635041,512
