environment,seed,method,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
halfcheetah-expert-v2,0,mpi4,implicit,0.1,0.1,0.2,0.0002221086345578819,0.001118124255145184,0.19735190529479324,0.19734917664884888,0.740234375,True
halfcheetah-expert-v2,0,mpi4,explicit,0.2,0.2,0.4,0.001669215846866612,0.008528763050811235,0.19246272282684404,0.19250112711065315,1.0,True
halfcheetah-expert-v2,0,mpi4,implicit,0.2,0.2,0.4,0.0005316121105566853,0.002620656902411145,0.19987094811074285,0.19988138429262972,0.56640625,True
halfcheetah-expert-v2,0,mpi4,explicit,1.5,2.5,4.0,0.03639029829804928,0.1732948110670888,0.1944520623592283,0.19385472664035514,1.0,True
halfcheetah-expert-v2,0,mpi4,implicit,1.5,2.5,4.0,0.007016861593707846,0.03956036211813882,0.16785156130311096,0.16815545127412423,0.046875,True
halfcheetah-expert-v2,0,mpi4,explicit,4.0,10.0,14.0,0.1441065455389853,0.5832868002096275,0.23570921135688117,0.2191803243560218,1.0,True
halfcheetah-expert-v2,0,mpi4,implicit,4.0,10.0,14.0,0.00013116187852253087,0.0005577098197338254,0.16070792590507682,0.1607901635106231,0.00390625,True
halfcheetah-expert-v2,0,mpi4,explicit,7.0,7.0,14.0,0.1313279050428955,0.5315638732730648,0.23570921135688117,0.21049158590401115,1.0,True
halfcheetah-expert-v2,0,mpi4,implicit,7.0,7.0,14.0,0.005105799781970413,0.00714282386619201,0.9220698018584526,0.9238331616122515,0.001953125,True
halfcheetah-expert-v2,0,mpi4,explicit,7.0,10.0,17.0,0.20572912935615117,0.6780807375317978,0.2714823454619553,0.23349019558972042,1.0,True
halfcheetah-expert-v2,0,mpi4,implicit,7.0,10.0,17.0,0.0038769293158477584,0.019455382435207905,0.13600084726038364,0.13679009487089747,0.001953125,True
halfcheetah-expert-v2,0,mpi4,explicit,10.0,10.0,20.0,0.258300336026948,0.6288468026095992,0.3151476529418975,0.24674714342295231,1.0,True
halfcheetah-expert-v2,0,mpi4,implicit,10.0,10.0,20.0,0.00681577613239297,0.03525755619003067,0.1439172922041171,0.1488343837215779,0.001953125,True
halfcheetah-expert-v2,1,mpi1,explicit,0.05,0.05,0.1,3.3730199387332786e-05,3.933587396012438e-05,0.856862637504698,0.8568634849375337,1.0,True
halfcheetah-expert-v2,1,mpi1,implicit,0.05,0.05,0.1,1.331349329651994e-05,1.5618443503076703e-05,0.8517711293328792,0.851771331244011,0.96875,True
halfcheetah-expert-v2,1,mpi4,explicit,0.05,0.05,0.1,0.0004681362220488149,0.002392622279350421,0.19471751605561477,0.1947268708230315,1.0,True
halfcheetah-expert-v2,1,mpi4,implicit,0.05,0.05,0.1,9.48172027058557e-05,0.00047791400819721165,0.19751314102958625,0.1975105058004164,0.81640625,True
halfcheetah-expert-v2,1,mpi4,explicit,0.1,0.1,0.2,0.0007731327108954595,0.0039281918468928,0.19491431968339556,0.19492972882084886,1.0,True
halfcheetah-expert-v2,1,mpi4,implicit,0.1,0.1,0.2,0.0004237964374504613,0.0021490071593556295,0.19552403272496646,0.19553703279781842,0.71875,True
halfcheetah-expert-v2,1,mpi4,explicit,0.2,0.2,0.4,0.00202961690815861,0.010291643374003932,0.19401979746526082,0.19404551577623969,1.0,True
