environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-medium-v2,2,mpi4,explicit,0.2,0.2,0.4,0.08214131708352373,0.08214131708352373,0.31729537228600113,0.0,0.0,0.07926818197373729,0.258879656805974,0.2614013115044004,0.2601264062607285,1.0048159421645437,0.2588747160589958,0.9999809148890293,0.015949553624538912,0.061609914897611424,1.0,True,1,0.0,0.078125,True,512
halfcheetah-medium-v2,2,mpi4,implicit,0.2,0.2,0.4,0.080244307566851,0.080244307566851,0.3025855177143095,0.0,0.0,0.0796243771428075,0.26519546663371646,0.3288706333419507,0.3203408259629847,0.9981749349445825,0.3202269022949227,0.9978199513123384,0.0014618362496480104,0.004555049450864068,0.255859375,False,200,0.07364937663078308,0.08203125,True,512
halfcheetah-medium-v2,2,mpi4,explicit,1.5,2.5,4.0,0.1874686204733424,0.1344943192530124,0.5452269047807011,0.18031932687706095,0.6107221442870413,0.1250313283006717,0.29525591721840416,0.26896172447181343,0.31827148510053127,1.0779512502203377,0.3018097484188099,1.0221971205933793,0.11079736872001254,0.3752587577713285,1.0,True,1,0.0,0.625,True,512
halfcheetah-medium-v2,2,mpi4,implicit,1.5,2.5,4.0,0.13342036216883793,0.09814274718606214,0.26843143651145795,0.11827528286815152,0.27421297090494534,0.11759385340489814,0.43132636095887344,0.5272303764098248,0.5557977053936859,1.0552127053701919,0.556207533429809,1.055990786579483,0.003098126837765132,0.005881965273214822,0.021484375,False,200,0.9345730543136597,0.638671875,True,512
halfcheetah-medium-v2,2,mpi4,explicit,4.0,10.0,14.0,0.40956005523726174,0.2309977395938618,0.8683071642370916,0.4069327361391654,1.1032341281410667,0.20963737473291713,0.3688543762010346,0.31827148510053127,0.4354512070053179,0.9141557714425956,0.3676526339519605,0.7718241947809142,0.31319130857786515,0.6574919019540526,1.0,True,1,0.0,0.853515625,True,512
halfcheetah-medium-v2,2,mpi4,implicit,4.0,10.0,14.0,0.24412795296766274,0.13961687247533125,0.3797818729736276,0.22751995593046387,0.45034069138209054,0.13799478733419393,0.5052174060314374,0.5659568286488196,0.5258996142107656,1.044656331762719,0.5222105601390702,1.0373283292503097,0.017548217986780842,0.034858091802471174,0.0078125,False,200,1.5727266073226929,0.83984375,True,512
halfcheetah-medium-v2,2,mpi4,explicit,7.0,7.0,14.0,0.30704207491448265,0.30704207491448265,0.8324208542049051,0.0,0.0,0.20574448344295754,0.3688543762010346,0.3386082524298354,0.4354512070053179,0.9141557714425956,0.35214197862115854,0.7392622111156897,0.2987313206131943,0.6271356157841238,1.0,True,1,0.0,0.78125,True,512
halfcheetah-medium-v2,2,mpi4,implicit,7.0,7.0,14.0,0.25516762931427645,0.25516762931427645,0.6280624903995338,0.0,0.0,0.18950242972089695,0.406277453620825,0.4312136726778491,0.4364908434117388,1.040860198641501,0.43855039298237264,1.0457714200509722,0.007861610199279662,0.01874687012837395,0.005859375,False,200,1.495361566543579,0.744140625,True,512
halfcheetah-medium-v2,2,mpi4,explicit,7.0,10.0,17.0,0.37375514770127577,0.3069131801809526,0.874346831861003,0.3939586152943568,1.0121125166457507,0.22567721516936876,0.3892438921711766,0.3386082524298354,0.4751971320740334,0.9271095750641092,0.3958850136607539,0.7723716369822057,0.3471123684315049,0.6772162091792515,1.0,True,1,0.0,0.828125,True,512
halfcheetah-medium-v2,2,mpi4,implicit,7.0,10.0,17.0,0.35095401540944343,0.27146278831252985,0.5587726894212749,0.31938413660612597,0.5734521687162365,0.27064627964152094,0.5569499149704463,nan,nan,nan,nan,nan,nan,nan,0.0,False,200,1.4926949739456177,0.810546875,False,512
