state_set,environment,T,seed,n_states,metric,mean,std,n_finite,n_near_zero_excluded
dataset,halfcheetah-expert-v2,14,0,2048,bound_frac_mart_mu1,0.2769368489583333,0.0,1,
dataset,halfcheetah-expert-v2,14,0,2048,bound_frac_mart_mu2,0.3422037760416667,0.0,1,
dataset,halfcheetah-expert-v2,14,0,2048,bound_frac_mart_mu3,0.379638671875,0.0,1,
dataset,halfcheetah-expert-v2,14,0,2048,bound_frac_mart_mu4,0.4054361979166667,0.0,1,
dataset,halfcheetah-expert-v2,14,0,2048,mart_mu4_vs_two_deploy_rms,0.09432649538550661,0.056885738383738865,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_mu1_vs_two_target_rms,0.044457401199990323,0.027556413187598574,2048,
dataset,halfcheetah-expert-v2,14,0,2048,two_target_vs_deploy_rms,0.09216034925878223,0.05682631385577701,2048,
dataset,halfcheetah-expert-v2,14,0,2048,bound_frac_two_actor_target,0.2710774739583333,0.0,1,
dataset,halfcheetah-expert-v2,14,0,2048,bound_frac_two_actor_deploy,0.3807779947916667,0.0,1,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_adjacent_rms_mu1_to_mu2,0.13538277726516984,0.13215832184204443,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_adjacent_l2_mu1_to_mu2,0.3316187242605332,0.32372045377552583,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta_mu2_minus_mu1_rms,0.13538277726516984,0.13215832184204443,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_adjacent_rms_mu2_to_mu3,0.16069405317956054,0.16626865559146034,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_adjacent_l2_mu2_to_mu3,0.3936184349895881,0.40727336641763107,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta_mu3_minus_mu2_rms,0.16069405317956054,0.16626865559146034,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_adjacent_rms_mu3_to_mu4,0.29837065916562644,0.3202527602454754,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_adjacent_l2_mu3_to_mu4,0.7308558691736575,0.7844558513192924,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta_mu4_minus_mu3_rms,0.29837065916562644,0.3202527602454754,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_from_mu1_rms_mu2,0.13538277726516984,0.13215832184204443,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_from_mu1_rms_mu3,0.19123446422835438,0.17913681595668926,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_from_mu1_rms_mu4,0.28800167055590287,0.25099993545508786,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta2_rms,0.1353827770523291,0.13215832254629026,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta2_l2,0.3316187231339427,0.32372045450282205,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta3_rms,0.1606940530379688,0.16626865582075284,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta3_l2,0.39361843577643185,0.40727336661721125,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta4_rms,0.2983706572905511,0.3202527578041052,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_delta4_l2,0.7308558676986223,0.784455849471102,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_cosine_delta2_delta3,-0.1547685713038334,0.3995474504795063,460,52
rollout_common,halfcheetah-expert-v2,14,0,512,mart_cosine_delta3_delta4,-0.21929312852210164,0.44654574825700305,459,53
rollout_common,halfcheetah-expert-v2,14,0,512,mart_cosine_delta2_delta4,-0.06811588247661018,0.5078094284227448,459,53
rollout_common,halfcheetah-expert-v2,14,0,512,bound_frac_mart_mu1,0.2835286458333333,0.0,1,
rollout_common,halfcheetah-expert-v2,14,0,512,bound_frac_mart_mu2,0.4016927083333333,0.0,1,
rollout_common,halfcheetah-expert-v2,14,0,512,bound_frac_mart_mu3,0.3759765625,0.0,1,
rollout_common,halfcheetah-expert-v2,14,0,512,bound_frac_mart_mu4,0.3841145833333333,0.0,1,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_mu4_vs_two_deploy_rms,0.3874257549735576,0.3533629241607729,512,
rollout_common,halfcheetah-expert-v2,14,0,512,mart_mu1_vs_two_target_rms,0.2714743088389173,0.27594779387976026,512,
rollout_common,halfcheetah-expert-v2,14,0,512,two_target_vs_deploy_rms,0.29635722510853796,0.26520293455287475,512,
rollout_common,halfcheetah-expert-v2,14,0,512,bound_frac_two_actor_target,0.3291015625,0.0,1,
rollout_common,halfcheetah-expert-v2,14,0,512,bound_frac_two_actor_deploy,0.4765625,0.0,1,
dataset,halfcheetah-expert-v2,14,1,2048,mart_adjacent_rms_mu1_to_mu2,0.05542383712108856,0.03338231485318673,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_adjacent_l2_mu1_to_mu2,0.135760120533792,0.08176963782323944,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta_mu2_minus_mu1_rms,0.05542383712108856,0.03338231485318673,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_adjacent_rms_mu2_to_mu3,0.04835465248666898,0.0309137227886445,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_adjacent_l2_mu2_to_mu3,0.11844422528194078,0.0757228468820273,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta_mu3_minus_mu2_rms,0.04835465248666898,0.0309137227886445,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_adjacent_rms_mu3_to_mu4,0.049292052115379154,0.030167907968133425,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_adjacent_l2_mu3_to_mu4,0.1207403760573551,0.07389598112916973,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta_mu4_minus_mu3_rms,0.049292052115379154,0.030167907968133425,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_from_mu1_rms_mu2,0.05542383712108856,0.03338231485318673,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_from_mu1_rms_mu3,0.08407900778041662,0.048343160097567804,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_from_mu1_rms_mu4,0.10445265375552851,0.061064473040540516,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta2_rms,0.05542383716419863,0.033382315385691703,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta2_l2,0.13576012074963728,0.08176963967417619,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta3_rms,0.04835465250951643,0.03091372264054452,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta3_l2,0.11844422521829756,0.07572284722766892,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta4_rms,0.04929205202211051,0.030167907866901277,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_delta4_l2,0.12074037593220055,0.07389598086119319,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_cosine_delta2_delta3,0.2928652279129921,0.4913651013463687,2048,0
dataset,halfcheetah-expert-v2,14,1,2048,mart_cosine_delta3_delta4,0.07635199229130554,0.5366359623393848,2048,0
dataset,halfcheetah-expert-v2,14,1,2048,mart_cosine_delta2_delta4,0.17981480556645055,0.49841732664606775,2048,0
dataset,halfcheetah-expert-v2,14,1,2048,bound_frac_mart_mu1,0.2681477864583333,0.0,1,
dataset,halfcheetah-expert-v2,14,1,2048,bound_frac_mart_mu2,0.330810546875,0.0,1,
dataset,halfcheetah-expert-v2,14,1,2048,bound_frac_mart_mu3,0.3623860677083333,0.0,1,
dataset,halfcheetah-expert-v2,14,1,2048,bound_frac_mart_mu4,0.38916015625,0.0,1,
dataset,halfcheetah-expert-v2,14,1,2048,mart_mu4_vs_two_deploy_rms,0.09690973250661832,0.058554525945640944,2048,
dataset,halfcheetah-expert-v2,14,1,2048,mart_mu1_vs_two_target_rms,0.044780634298989236,0.031007647837472598,2048,
dataset,halfcheetah-expert-v2,14,1,2048,two_target_vs_deploy_rms,0.08876790663289784,0.05307577073971874,2048,
dataset,halfcheetah-expert-v2,14,1,2048,bound_frac_two_actor_target,0.2763671875,0.0,1,
dataset,halfcheetah-expert-v2,14,1,2048,bound_frac_two_actor_deploy,0.3982747395833333,0.0,1,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_adjacent_rms_mu1_to_mu2,0.2513687418489959,0.27074255672242376,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_adjacent_l2_mu1_to_mu2,0.6157251548154281,0.6631811156264698,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta_mu2_minus_mu1_rms,0.2513687418489959,0.27074255672242376,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_adjacent_rms_mu2_to_mu3,0.23376936486520583,0.2684265824375227,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_adjacent_l2_mu2_to_mu3,0.5726156614142599,0.6575081603710551,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta_mu3_minus_mu2_rms,0.23376936486520583,0.2684265824375227,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_adjacent_rms_mu3_to_mu4,0.2459811390791652,0.25294653826279656,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_adjacent_l2_mu3_to_mu4,0.6025282770925374,0.6195899509472329,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta_mu4_minus_mu3_rms,0.2459811390791652,0.25294653826279656,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_from_mu1_rms_mu2,0.2513687418489959,0.27074255672242376,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_from_mu1_rms_mu3,0.2713672752636328,0.2677500256614382,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_from_mu1_rms_mu4,0.3129140211734339,0.2990807101209287,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta2_rms,0.2513687410885268,0.27074255401677677,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta2_l2,0.6157251538243145,0.6631811104061573,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta3_rms,0.23376936489066225,0.26842658247198914,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta3_l2,0.5726156597447698,0.6575081556146529,512,
rollout_common,halfcheetah-expert-v2,14,1,512,mart_delta4_rms,0.24598113899310192,0.2529465387891798,512,
