method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.2,0.2,3,hopper-medium-replay-v2,26.1409,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,3,hopper-expert-v2,87.2938,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,3,halfcheetah-medium-v2,44.7539,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,3,halfcheetah-medium-replay-v2,33.7327,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,3,halfcheetah-expert-v2,94.1705,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,3,walker2d-medium-v2,79.0853,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,3,walker2d-medium-replay-v2,66.3999,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,3,walker2d-expert-v2,106.6044,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,0,hopper-medium-v2,51.0224,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,hopper-medium-replay-v2,36.2919,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,hopper-expert-v2,105.5402,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,halfcheetah-medium-v2,44.4438,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,halfcheetah-medium-replay-v2,41.7575,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,halfcheetah-expert-v2,93.2304,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,walker2d-medium-v2,80.9525,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,walker2d-medium-replay-v2,21.6917,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,0,walker2d-expert-v2,107.223,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.25,0.25,1,hopper-medium-v2,48.0479,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,1,hopper-medium-replay-v2,33.063,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,1,hopper-expert-v2,102.9784,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,1,halfcheetah-medium-v2,44.0838,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,1,halfcheetah-medium-replay-v2,41.8559,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,1,halfcheetah-expert-v2,94.2852,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,1,walker2d-medium-v2,81.0162,available,K=1/Imp/seed1.csv
