method,T,seeds,available_runs,expected_runs,status,mean_score,std_seed_task_means,score_below_20_runs,score_below_20_task_means
I-MART-4,0.2,"2,3",18,18,complete,66.97972777777778,0.7406629263248578,0,0
I-MART-4,0.2,"0,1,2,3",36,36,complete,68.70799444444444,2.0485174814510816,0,0
I-MART-4,0.4,"0,1",18,18,complete,72.16128333333333,2.381370647454016,0,0
I-MART-4,0.4,"2,3",18,18,complete,70.34958333333333,3.0733296300391415,0,0
I-MART-4,0.4,"0,1,2,3",36,36,complete,71.25543333333333,2.4764583626240735,0,0
I-MART-4,0.7,"0,1",18,18,complete,72.96990555555556,1.8714680907983818,0,0
I-MART-4,0.7,"2,3",18,18,complete,73.55501666666666,0.09422590696411022,0,0
I-MART-4,0.7,"0,1,2,3",36,36,complete,73.26246111111111,1.1333764230189116,0,0
I-MART-4,1.5,"0,1",18,18,complete,76.03471111111111,1.0723195769273846,0,0
I-MART-4,1.5,"2,3",18,18,complete,79.36676111111112,3.2225134473854817,0,0
I-MART-4,1.5,"0,1,2,3",36,36,complete,77.70073611111111,2.746938865728055,0,0
I-MART-4,2.5,"0,1",18,18,complete,81.21173333333334,0.7296713442484137,0,0
I-MART-4,2.5,"2,3",18,18,complete,81.29271666666668,1.1365327294011343,0,0
I-MART-4,2.5,"0,1,2,3",36,36,complete,81.25222500000001,0.7811711754144238,0,0
I-MART-4,4,"0,1",18,18,complete,82.321,3.2471757605648572,0,0
I-MART-4,4,"2,3",18,18,complete,81.80756111111111,0.09480730587308837,0,0
I-MART-4,4,"0,1,2,3",36,36,complete,82.06428055555556,1.8988380954213664,0,0
I-MART-4,7,"0,1",18,18,complete,81.6348611111111,1.523477273550446,0,0
I-MART-4,7,"2,3",18,18,complete,81.9432888888889,0.114834141264699,0,0
I-MART-4,7,"0,1,2,3",36,36,complete,81.789075,0.8998699122891125,0,0
I-MART-4,10,"0,1",18,18,complete,72.12017777777778,17.18736168758894,3,0
I-MART-4,10,"2,3",18,18,complete,76.57759444444444,6.900710074793608,1,0
I-MART-4,10,"0,1,2,3",36,36,complete,74.34888611111111,10.9983902558001,4,0
I-MART-4,12,"0,1",18,18,complete,68.56856111111111,11.398899152633714,3,0
I-MART-4,12,"2,3",18,18,complete,67.19777777777779,11.877398311462649,2,1
I-MART-4,12,"0,1,2,3",36,36,complete,67.88316944444445,9.537409492589235,5,0
I-MART-4,14,"0,1",18,18,complete,48.98623888888889,13.978157561173793,7,2
I-MART-4,14,"2,3",18,18,complete,59.570861111111114,6.22207612666284,5,2
I-MART-4,14,"0,1,2,3",36,36,complete,54.27855,10.741467120745163,12,2
I-MART-4,17,"0,1",18,18,complete,52.268205555555554,7.843754818636067,7,3
I-MART-4,17,"2,3",18,18,complete,52.01795,1.0460230614092563,6,2
I-MART-4,17,"0,1,2,3",36,36,complete,52.143077777777776,4.570969326191945,13,2
I-MART-4,20,"0,1",18,18,complete,39.37375,10.174645898655376,9,4
I-MART-4,20,"2,3",18,18,complete,31.20742222222222,8.12146707857608,11,5
I-MART-4,20,"0,1,2,3",36,36,complete,35.29058611111111,8.872627495947384,20,4
I-MART-4,24,"0,1",0,18,missing,,,,
I-MART-4,24,"2,3",0,18,missing,,,,
I-MART-4,24,"0,1,2,3",0,36,missing,,,,
I-MART-4,28,"0,1",0,18,missing,,,,
I-MART-4,28,"2,3",0,18,missing,,,,
I-MART-4,28,"0,1,2,3",0,36,missing,,,,
I-MART-4,34,"0,1",0,18,missing,,,,
I-MART-4,34,"2,3",0,18,missing,,,,
I-MART-4,34,"0,1,2,3",0,36,missing,,,,
I-MART-4,40,"0,1",0,18,missing,,,,
I-MART-4,40,"2,3",0,18,missing,,,,
I-MART-4,40,"0,1,2,3",0,36,missing,,,,
E-MART-2,0.05,"0,1",18,18,complete,60.97632222222222,0.4056121631726332,2,1
E-MART-2,0.05,"2,3",18,18,complete,63.59092777777778,1.6193609530793345,0,0
E-MART-2,0.05,"0,1,2,3",36,36,complete,62.283625,1.7909972393812295,2,0
E-MART-2,0.1,"0,1",18,18,complete,63.12488888888889,0.9457003226429156,1,0
E-MART-2,0.1,"2,3",18,18,complete,63.765905555555555,0.21839385774047,0,0
E-MART-2,0.1,"0,1,2,3",36,36,complete,63.44539722222222,0.6715522675836252,1,0
E-MART-2,0.2,"0,1",18,18,complete,66.20224999999999,0.8125835427135354,0,0
E-MART-2,0.2,"2,3",18,18,complete,67.04032777777778,2.046547729820175,0,0
E-MART-2,0.2,"0,1,2,3",36,36,complete,66.62128888888888,1.3602725199907466,0,0
E-MART-2,0.4,"0,1",18,18,complete,72.07065,3.3290194421162043,0,0
E-MART-2,0.4,"2,3",18,18,complete,71.18879444444445,0.4011888174192112,0,0
E-MART-2,0.4,"0,1,2,3",36,36,complete,71.62972222222223,2.0017485801230634,0,0
E-MART-2,0.7,"0,1",18,18,complete,67.97532777777778,4.616048064779877,1,0
E-MART-2,0.7,"2,3",18,18,complete,73.97637777777778,0.5568073064743416,0,0
E-MART-2,0.7,"0,1,2,3",36,36,complete,70.97585277777779,4.382941752423112,1,0
E-MART-2,1.5,"0,1",18,18,complete,72.69767222222222,2.5665069162526803,1,0
E-MART-2,1.5,"2,3",18,18,complete,77.55950555555555,3.3805910966907367,0,0
E-MART-2,1.5,"0,1,2,3",36,36,complete,75.12858888888888,3.726158758261587,1,0
E-MART-2,2.5,"0,1",18,18,complete,80.1003388888889,0.2036546097237435,0,0
E-MART-2,2.5,"2,3",18,18,complete,76.75095,5.800373355847211,1,0
E-MART-2,2.5,"0,1,2,3",36,36,complete,78.42564444444444,3.8688590995406864,1,0
E-MART-2,4,"0,1",18,18,complete,73.94774444444445,4.010536814565803,1,0
E-MART-2,4,"2,3",18,18,complete,76.37620555555554,5.0209531211713205,1,0
E-MART-2,4,"0,1,2,3",36,36,complete,75.161975,3.9661820076813847,2,0
E-MART-2,7,"0,1",18,18,complete,45.6288,4.536451411444312,6,3
E-MART-2,7,"2,3",18,18,complete,57.350627777777774,1.9146330314188116,4,1
E-MART-2,7,"0,1,2,3",36,36,complete,51.489713888888886,7.340446342134739,10,1
E-MART-2,10,"0,1",18,18,complete,39.980888888888884,0.8048603653145822,8,4
E-MART-2,10,"2,3",18,18,complete,35.63016666666667,3.7908465943931597,8,5
E-MART-2,10,"0,1,2,3",36,36,complete,37.805527777777776,3.363881783734125,16,4
E-MART-2,12,"0,1",18,18,complete,27.092033333333333,1.2006987414228083,10,5
E-MART-2,12,"2,3",18,18,complete,24.959716666666665,0.0030405591591000924,11,5
E-MART-2,12,"0,1,2,3",36,36,complete,26.025875,1.4128530331211333,21,5
E-MART-2,14,"0,1",18,18,complete,25.097733333333334,0.4216084899114723,11,6
E-MART-2,14,"2,3",18,18,complete,29.818583333333336,3.2493049376504395,9,5
E-MART-2,14,"0,1,2,3",36,36,complete,27.458158333333333,3.3177382365654347,20,5
E-MART-2,17,"0,1",18,18,complete,24.405944444444444,1.8962718253340043,10,5
E-MART-2,17,"2,3",18,18,complete,30.59608888888889,1.2343413107232648,10,5
E-MART-2,17,"0,1,2,3",36,36,complete,27.501016666666665,3.805142728378706,20,5
E-MART-2,20,"0,1",18,18,complete,20.633383333333335,3.55068956127617,12,6
E-MART-2,20,"2,3",18,18,complete,26.464844444444445,6.557629721303911,11,5
E-MART-2,20,"0,1,2,3",36,36,complete,23.54911388888889,5.465523537371487,23,5
E-MART-2,24,"0,1",0,18,missing,,,,
E-MART-2,24,"2,3",18,18,complete,23.47556666666667,8.079622070613862,11,5
E-MART-2,24,"0,1,2,3",18,36,partial,,,,
E-MART-2,28,"0,1",0,18,missing,,,,
E-MART-2,28,"2,3",18,18,complete,14.422222222222222,2.8645209975547585,12,6
E-MART-2,28,"0,1,2,3",18,36,partial,,,,
E-MART-2,34,"0,1",0,18,missing,,,,
E-MART-2,34,"2,3",18,18,complete,9.210122222222223,1.7566103793076482,14,7
E-MART-2,34,"0,1,2,3",18,36,partial,,,,
E-MART-2,40,"0,1",0,18,missing,,,,
E-MART-2,40,"2,3",18,18,complete,13.519694444444443,3.2133996266501854,12,6
E-MART-2,40,"0,1,2,3",18,36,partial,,,,
E-MART-3,0.05,"0,1",18,18,complete,58.31782222222222,0.737685221101856,2,1
E-MART-3,0.05,"2,3",18,18,complete,60.23137777777778,1.8344078387221925,3,1
E-MART-3,0.05,"0,1,2,3",36,36,complete,59.2746,1.588597543788763,5,1
E-MART-3,0.1,"0,1",18,18,complete,59.97092222222222,0.660532014532395,1,1
E-MART-3,0.1,"2,3",18,18,complete,65.74808333333334,0.41316249224729895,2,1
E-MART-3,0.1,"0,1,2,3",36,36,complete,62.85950277777778,3.365639923845925,3,1
E-MART-3,0.2,"0,1",18,18,complete,63.69196111111111,1.9633134049325036,1,0
E-MART-3,0.2,"2,3",18,18,complete,66.29765555555555,2.5085634439054485,1,0
E-MART-3,0.2,"0,1,2,3",36,36,complete,64.99480833333334,2.3760705387884298,2,0
E-MART-3,0.4,"0,1",18,18,complete,70.51783888888889,0.8150977001577606,0,0
E-MART-3,0.4,"2,3",18,18,complete,71.28958888888889,0.020286107878044253,0,0
E-MART-3,0.4,"0,1,2,3",36,36,complete,70.90371388888889,0.6481753490826656,0,0
E-MART-3,0.7,"0,1",18,18,complete,73.22867777777779,8.349328310442436,0,0
E-MART-3,0.7,"2,3",18,18,complete,75.04020555555556,3.381691040572582,0,0
E-MART-3,0.7,"0,1,2,3",36,36,complete,74.13444166666667,5.304989802663932,0,0
E-MART-3,1.5,"0,1",18,18,complete,77.13632777777778,5.549460442914175,0,0
E-MART-3,1.5,"2,3",18,18,complete,78.33975555555556,2.5076992022839963,0,0
E-MART-3,1.5,"0,1,2,3",36,36,complete,77.73804166666667,3.583913359859217,0,0
E-MART-3,2.5,"0,1",18,18,complete,76.9362888888889,5.533770529113846,0,0
E-MART-3,2.5,"2,3",18,18,complete,79.46418333333332,1.5239172511031822,0,0
E-MART-3,2.5,"0,1,2,3",36,36,complete,78.20023611111111,3.6210123068626303,0,0
E-MART-3,4,"0,1",18,18,complete,75.31021666666666,5.849320858589347,1,0
E-MART-3,4,"2,3",18,18,complete,81.00245000000001,2.481936945222765,0,0
E-MART-3,4,"0,1,2,3",36,36,complete,78.15633333333334,4.925311693280648,1,0
E-MART-3,7,"0,1",18,18,complete,66.469,14.633009151230658,2,0
E-MART-3,7,"2,3",18,18,complete,69.12491111111112,8.283897362956639,2,0
E-MART-3,7,"0,1,2,3",36,36,complete,67.79695555555556,9.82856001948952,4,0
E-MART-3,10,"0,1",18,18,complete,45.78368888888889,14.286401120577032,7,3
E-MART-3,10,"2,3",18,18,complete,45.418683333333334,3.5626160956521873,6,3
E-MART-3,10,"0,1,2,3",36,36,complete,45.60118611111111,8.503464381819352,13,2
E-MART-3,12,"0,1",18,18,complete,30.6506,9.0950588353658,10,5
E-MART-3,12,"2,3",18,18,complete,49.27757222222222,1.1623971241085418,5,3
E-MART-3,12,"0,1,2,3",36,36,complete,39.964086111111115,11.986594685457856,15,4
E-MART-3,14,"0,1",18,18,complete,39.542855555555555,6.583698391303656,9,4
E-MART-3,14,"2,3",18,18,complete,43.83458888888889,3.358772924120126,7,3
E-MART-3,14,"0,1,2,3",36,36,complete,41.688722222222225,4.934417056684652,16,4
E-MART-3,17,"0,1",18,18,complete,25.744405555555552,0.18396561423870011,12,6
E-MART-3,17,"2,3",18,18,complete,26.82266111111111,3.6266799700276824,11,6
E-MART-3,17,"0,1,2,3",36,36,complete,26.28353333333333,2.1870288822440243,23,6
E-MART-3,20,"0,1",18,18,complete,23.878316666666667,1.1121296887081875,12,6
E-MART-3,20,"2,3",18,18,complete,27.29801111111111,6.03352217508844,11,5
