task,T,training_seed,method,state_set,metric,actor_a,actor_b,value,n,n_excluded,q_weight,action_grad_norm,paired,checkpoint_hash
hopper-medium-v2,14,0,MART4,rollout_union,from_mu1_rms,mu1,mu2,0.05758833512663841,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,from_mu1_rms,mu1,mu3,0.08308887481689453,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,from_mu1_rms,mu1,mu4,0.10716833174228668,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,cos_d2_d3,delta,delta,0.05801084265112877,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,cos_d3_d4,delta,delta,-0.09108854830265045,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,cos_d2_d4,delta,delta,0.1717013567686081,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,20,0,MART4,dataset,bound_frac,mu1,,0.203369140625,4096,0,0.04038701951503754,2.967533588409424,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,bound_frac,mu2,,0.2294921875,4096,0,0.04038701951503754,2.948652982711792,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,bound_frac,mu3,,0.2578125,4096,0,0.04034769907593727,2.920576333999634,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,bound_frac,mu4,,0.2509765625,4096,0,0.04031910002231598,2.9320759773254395,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,adjacent_rms,mu1,mu2,0.07520468533039093,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,adjacent_rms,mu2,mu3,0.07031284272670746,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
