task,T,training_seed,method,actor_index,actor_role,checkpoint_hash,checkpoint_step,evaluation_seed,raw_return,normalized_score,episode_length,host_run_dir
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10000,2102.3059879378598,65.21834803537601,648,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10001,1598.8104375494186,49.74794199723328,500,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10002,1548.8030781819468,48.21141569881166,483,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10003,1781.2901488114826,55.35481424221984,546,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10004,1569.816674963757,48.857079546854834,492,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10005,1863.0058071322271,57.86560984492329,578,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10006,1261.3702783521483,39.37975448826749,406,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10007,1912.4152938699508,59.38376590683705,593,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10008,1268.2031457300973,39.58970119516509,408,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,1,mu1,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10009,1578.597559086287,49.126881023043886,499,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,3,mu3,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10000,1540.3521543880724,47.951752584832256,474,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
