task,T,training_seed,method,actor_index,actor_role,n_episodes,mean_normalized,std_normalized
hopper-medium-v2,7,1,MART4,1,mu1,10,44.92077324733556,4.157838215596259
hopper-medium-v2,7,1,MART4,2,mu2,10,64.48781628392099,8.108358222525087
hopper-medium-v2,7,1,MART4,3,mu3,10,82.17459017756534,15.779598927249987
hopper-medium-v2,7,1,MART4,4,mu4,10,90.86054512690157,14.824214502993547
hopper-medium-v2,7,1,two_actor_p4,1,target_value,10,49.988760202323284,5.3282640737834335
hopper-medium-v2,7,1,two_actor_p4,2,deployment,10,96.16145365117141,12.915217117422474
hopper-medium-v2,10,0,MART4,1,mu1,10,52.353186115547466,11.928227029695933
hopper-medium-v2,10,0,MART4,2,mu2,10,63.804981740215794,14.706764089039497
hopper-medium-v2,10,0,MART4,3,mu3,10,89.5124052404546,17.70719777790761
hopper-medium-v2,10,0,MART4,4,mu4,10,100.75296774952444,0.3265200153679269
hopper-medium-v2,10,0,two_actor_p4,1,target_value,10,61.23115277733658,9.292788913140637
hopper-medium-v2,10,0,two_actor_p4,2,deployment,10,99.7071824251968,0.6915139525809798
hopper-medium-v2,10,1,MART4,1,mu1,10,54.85612116085351,9.144074832397786
hopper-medium-v2,10,1,MART4,2,mu2,10,70.06833960626014,20.520145859789572
hopper-medium-v2,10,1,MART4,3,mu3,10,98.53727946748066,5.609066173657976
hopper-medium-v2,10,1,MART4,4,mu4,10,100.71061772822802,0.28009614994590937
hopper-medium-v2,10,1,two_actor_p4,1,target_value,10,54.410198211862415,16.687973860521115
hopper-medium-v2,10,1,two_actor_p4,2,deployment,10,97.00205039064612,1.4809661392607771
hopper-medium-v2,14,0,MART4,1,mu1,10,60.64819039132792,12.860105752496638
hopper-medium-v2,14,0,MART4,2,mu2,10,98.02140733378558,8.001436364552676
hopper-medium-v2,14,0,MART4,3,mu3,10,101.55616262915323,0.30099434090070215
hopper-medium-v2,14,0,MART4,4,mu4,10,101.37247188609294,0.22830017988732876
hopper-medium-v2,14,0,two_actor_p4,1,target_value,10,58.88472666024008,8.424058073349078
hopper-medium-v2,14,0,two_actor_p4,2,deployment,10,99.91116204962894,0.6887436959221757
hopper-medium-v2,14,1,MART4,1,mu1,10,51.74627251844041,6.435720612096532
hopper-medium-v2,14,1,MART4,2,mu2,10,100.62839173419653,0.25445303596889185
hopper-medium-v2,14,1,MART4,3,mu3,10,101.23390448586733,0.17227552616919353
hopper-medium-v2,14,1,MART4,4,mu4,10,100.96707305813271,0.33751915579695424
hopper-medium-v2,14,1,two_actor_p4,1,target_value,10,53.86125604983617,7.3108381624637335
hopper-medium-v2,14,1,two_actor_p4,2,deployment,10,98.85728452712655,1.3302137331085184
hopper-medium-v2,20,0,MART4,1,mu1,10,72.69102521641432,14.64307158035969
hopper-medium-v2,20,0,MART4,2,mu2,10,89.36210904389284,13.230970724893204
hopper-medium-v2,20,0,MART4,3,mu3,10,100.90604199685181,0.5642397782284503
hopper-medium-v2,20,0,MART4,4,mu4,10,101.39372848302614,0.3246027052932011
hopper-medium-v2,20,0,two_actor_p4,1,target_value,10,68.54779290881206,18.62317872850066
hopper-medium-v2,20,0,two_actor_p4,2,deployment,10,101.46760047903238,0.5334657198983482
hopper-medium-v2,20,1,MART4,1,mu1,10,52.89357469509273,5.862599464652686
hopper-medium-v2,20,1,MART4,2,mu2,10,87.774071855617,21.06232180747324
hopper-medium-v2,20,1,MART4,3,mu3,10,101.38119321906646,0.3047713265924918
hopper-medium-v2,20,1,MART4,4,mu4,10,41.85749852989048,38.688432879050076
hopper-medium-v2,20,1,two_actor_p4,1,target_value,10,54.8297812550177,7.353340928027982
hopper-medium-v2,20,1,two_actor_p4,2,deployment,10,15.71943984236869,0.198211205703606
