task,T,training_seed,kind,hop,first_source,continuation_source,evaluation_seed,raw_return,discounted_return,normalized_score,episode_length,terminated,truncated,q_mart_first,q_mart_cont_action,delta_q_mart,q_two_first,q_two_cont_action,delta_q_two,first_action_rms,checkpoint_hash_mart,checkpoint_hash_two
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10008,1810.8809699124179,238.0103288911405,56.264021914621985,552,1,0,218.6720428466797,218.5327911376953,0.139251708984375,218.72348022460938,218.5796661376953,0.1438140869140625,0.06379565596580505,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10009,2391.469088781298,239.17972288127405,74.10317448090305,727,1,0,218.1473846435547,217.99868774414062,0.1486968994140625,218.0425262451172,217.90631103515625,0.1362152099609375,0.06037769094109535,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10000,1835.984936971117,238.88494948562044,57.035366494065855,567,1,0,220.45960998535156,220.33876037597656,0.120849609375,218.7206268310547,218.64193725585938,0.0786895751953125,0.043001651763916016,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10001,1786.0938448791667,237.7874140460903,55.50241262435761,545,1,0,220.1591339111328,220.0738525390625,0.0852813720703125,219.04295349121094,218.9718475341797,0.07110595703125,0.03316139057278633,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10002,2015.3739518794887,239.37050568538038,62.547273992104124,611,1,0,220.3195037841797,220.2039794921875,0.1155242919921875,218.70567321777344,218.6376495361328,0.068023681640625,0.04039449989795685,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10003,1504.8425114815582,238.46594209834078,46.86068317297864,460,1,0,219.77188110351562,219.63075256347656,0.1411285400390625,218.04713439941406,217.9329376220703,0.11419677734375,0.03790203109383583,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10004,1562.157917139365,237.7239335400728,48.62175652721794,483,1,0,220.1849822998047,220.06727600097656,0.117706298828125,218.82337951660156,218.73155212402344,0.091827392578125,0.041791751980781555,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10005,1543.5546711667585,238.04510885349654,48.05015312654909,476,1,0,220.6573028564453,220.48582458496094,0.171478271484375,218.8428497314453,218.7079315185547,0.134918212890625,0.04463287070393562,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10006,1426.9530863573855,235.87616373386246,44.46745242482438,442,1,0,220.7674102783203,220.62132263183594,0.146087646484375,219.57843017578125,219.4641876220703,0.1142425537109375,0.04180651903152466,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10007,1567.2456336895907,236.89808974657356,48.778081723693354,486,1,0,221.2261199951172,221.1020050048828,0.124114990234375,219.9340362548828,219.82362365722656,0.11041259765625,0.045978691428899765,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10008,1521.5916584918712,236.7019310446587,47.37531752246233,467,1,0,221.0736541748047,220.8905029296875,0.1831512451171875,219.8787384033203,219.74888610839844,0.129852294921875,0.04181838408112526,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,two_actor_polyak_target,10009,1562.3892994724727,237.48090727956878,48.6288659815924,484,1,0,220.4900665283203,220.33436584472656,0.15570068359375,219.22457885742188,219.1134033203125,0.111175537109375,0.039064809679985046,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,0,hybrid,3,mart_hop,mart_polyak_mu1,10000,1450.5690276308567,237.57564662554023,45.193075918799,446,1,0,217.94070434570312,217.62161254882812,0.319091796875,217.57598876953125,217.39588928222656,0.1800994873046875,0.0762079507112503,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
