environment,seed,tau,method,hop,n_hops,ref_method,hop_vs_mpi1_final_rms,relative_hop_vs_mpi1_final,hop_vs_prev_rms,hop_vs_aD_rms,is_final_hop,n_states
halfcheetah-medium-v2,2,17.0,mpi3,3,3,mpi1,0.2659414933090643,0.7244308125079411,0.1267653750779533,0.38002275579721384,True,512
halfcheetah-medium-v2,2,20.0,mpi1,1,1,mpi1,0.0,0.0,0.402822341236871,0.402822341236871,True,512
halfcheetah-medium-v2,2,20.0,mpi2,1,2,mpi1,0.28031006832000777,0.6958652478393136,0.3210416411263989,0.3210416411263989,False,512
halfcheetah-medium-v2,2,20.0,mpi2,2,2,mpi1,0.3066091786922654,0.761152367445207,0.18627697010737573,0.4088323608974221,True,512
halfcheetah-medium-v2,2,20.0,mpi3,1,3,mpi1,0.2821414489353483,0.7004116208376862,0.29443094730024205,0.29443094730024205,False,512
halfcheetah-medium-v2,2,20.0,mpi3,2,3,mpi1,0.28354116880053265,0.7038864029485454,0.1422168273662751,0.35433087246922695,False,512
halfcheetah-medium-v2,2,20.0,mpi3,3,3,mpi1,0.29700645247416285,0.7373137536567631,0.121954751778608,0.3964307311138274,True,512
halfcheetah-medium-v2,3,0.05,mpi1,1,1,mpi1,0.0,0.0,0.2565951113979575,0.2565951113979575,True,512
halfcheetah-medium-v2,3,0.05,mpi2,1,2,mpi1,0.09458368944581678,0.3686106447255163,0.24518401854130356,0.24518401854130356,False,512
halfcheetah-medium-v2,3,0.05,mpi2,2,2,mpi1,0.10272738215969478,0.40034816563739295,0.06803531154092764,0.2500568173368848,True,512
halfcheetah-medium-v2,3,0.05,mpi3,1,3,mpi1,0.0770399184641918,0.3002392292061611,0.253299936122379,0.253299936122379,False,512
halfcheetah-medium-v2,3,0.05,mpi3,2,3,mpi1,0.08039734257983229,0.3133237501752041,0.06691814689325921,0.2544571207556438,False,512
halfcheetah-medium-v2,3,0.05,mpi3,3,3,mpi1,0.088129257788752,0.34345649575556764,0.0640958771789461,0.2592538496923307,True,512
halfcheetah-medium-v2,3,0.1,mpi1,1,1,mpi1,0.0,0.0,0.25310533337717483,0.25310533337717483,True,512
halfcheetah-medium-v2,3,0.1,mpi2,1,2,mpi1,0.08328712301778175,0.3290611142265745,0.24809023337119956,0.24809023337119956,False,512
halfcheetah-medium-v2,3,0.1,mpi2,2,2,mpi1,0.09049707504117818,0.3575470885329801,0.0709757510966004,0.25047931521296307,True,512
halfcheetah-medium-v2,3,0.1,mpi3,1,3,mpi1,0.09644530623684265,0.3810480994215989,0.2481317914659593,0.2481317914659593,False,512
halfcheetah-medium-v2,3,0.1,mpi3,2,3,mpi1,0.09382904269448507,0.37071144034196246,0.07071841392215392,0.2502816025372149,False,512
halfcheetah-medium-v2,3,0.1,mpi3,3,3,mpi1,0.10816561827692267,0.4273541645040543,0.06824999287400475,0.25298925475535605,True,512
halfcheetah-medium-v2,3,0.2,mpi1,1,1,mpi1,0.0,0.0,0.2552697730618134,0.2552697730618134,True,512
halfcheetah-medium-v2,3,0.2,mpi2,1,2,mpi1,0.08832416186840399,0.34600321381183013,0.2474229860101826,0.2474229860101826,False,512
halfcheetah-medium-v2,3,0.2,mpi2,2,2,mpi1,0.08751710402959557,0.34284162586066685,0.07296237941900123,0.2541072566838704,True,512
halfcheetah-medium-v2,3,0.2,mpi3,1,3,mpi1,0.07531273252818269,0.2950319249508078,0.2533042823780577,0.2533042823780577,False,512
halfcheetah-medium-v2,3,0.2,mpi3,2,3,mpi1,0.07746995875379933,0.3034826952858223,0.07172955804692946,0.2581100376407096,False,512
halfcheetah-medium-v2,3,0.2,mpi3,3,3,mpi1,0.08753624928673928,0.3429166259553278,0.06433894845124527,0.2610517557070025,True,512
halfcheetah-medium-v2,3,0.4,mpi1,1,1,mpi1,0.0,0.0,0.25290330544200174,0.25290330544200174,True,512
halfcheetah-medium-v2,3,0.4,mpi2,1,2,mpi1,0.08784903351568754,0.3473621404914138,0.2546327720443601,0.2546327720443601,False,512
halfcheetah-medium-v2,3,0.4,mpi2,2,2,mpi1,0.09348582168522272,0.3696504540414629,0.07175787687795163,0.2592632463256263,True,512
halfcheetah-medium-v2,3,0.4,mpi3,1,3,mpi1,0.08609390726894642,0.3404222302214643,0.25463292615982625,0.25463292615982625,False,512
halfcheetah-medium-v2,3,0.4,mpi3,2,3,mpi1,0.08929419434646312,0.35307642258926875,0.0677308476936545,0.2574214109244719,False,512
halfcheetah-medium-v2,3,0.4,mpi3,3,3,mpi1,0.09779473645067677,0.3866882494072582,0.06433758205690297,0.2598893895003705,True,512
halfcheetah-medium-v2,3,0.7,mpi1,1,1,mpi1,0.0,0.0,0.25718558052621127,0.25718558052621127,True,512
halfcheetah-medium-v2,3,0.7,mpi2,1,2,mpi1,0.10397671706680821,0.4042867288829645,0.25086698806524194,0.25086698806524194,False,512
halfcheetah-medium-v2,3,0.7,mpi2,2,2,mpi1,0.11170108301359799,0.43432093970841373,0.07312503373910033,0.25410534142493557,True,512
halfcheetah-medium-v2,3,0.7,mpi3,1,3,mpi1,0.09733420879023288,0.3784590434311421,0.25694591111433734,0.25694591111433734,False,512
halfcheetah-medium-v2,3,0.7,mpi3,2,3,mpi1,0.09941098818738354,0.38653406611671215,0.07541485825039372,0.26170795752355014,False,512
halfcheetah-medium-v2,3,0.7,mpi3,3,3,mpi1,0.10700591794923454,0.41606499761882626,0.06250217452180618,0.2652835813691363,True,512
halfcheetah-medium-v2,3,1.5,mpi1,1,1,mpi1,0.0,0.0,0.26143927461185795,0.26143927461185795,True,512
halfcheetah-medium-v2,3,1.5,mpi2,1,2,mpi1,0.09307380850262395,0.35600545725505334,0.2599491741826131,0.2599491741826131,False,512
halfcheetah-medium-v2,3,1.5,mpi2,2,2,mpi1,0.0925560557539401,0.3540250633396689,0.07507990645830946,0.26617458654938897,True,512
halfcheetah-medium-v2,3,1.5,mpi3,1,3,mpi1,0.09244428712600204,0.3535975505717269,0.2549763124378408,0.2549763124378408,False,512
halfcheetah-medium-v2,3,1.5,mpi3,2,3,mpi1,0.09275016313452987,0.3547675201907979,0.07844165489093285,0.26460838372542045,False,512
halfcheetah-medium-v2,3,1.5,mpi3,3,3,mpi1,0.10261531670179146,0.3925015354106142,0.06406253199766174,0.27301382841192934,True,512
halfcheetah-medium-v2,3,2.5,mpi1,1,1,mpi1,0.0,0.0,0.2674324096446166,0.2674324096446166,True,512
halfcheetah-medium-v2,3,2.5,mpi2,1,2,mpi1,0.09866558119380295,0.3689365149306954,0.259796012786082,0.259796012786082,False,512
halfcheetah-medium-v2,3,2.5,mpi2,2,2,mpi1,0.10829556398324973,0.4049455491470187,0.08760025044714377,0.27194084827290493,True,512
