environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
halfcheetah-expert-v2,2,10.0,mpi1,mpi3,0.1178323369561105,0.5015415409110697,0.23494033364028727,0.2271449007642412,512
halfcheetah-expert-v2,2,10.0,mpi2,mpi3,0.09425530995311397,0.40582208824838917,0.23225771263446773,0.2271449007642412,512
halfcheetah-expert-v2,2,14.0,mpi1,mpi2,0.1756352383706814,0.6297514011303047,0.27889614545587954,0.26926772229443074,512
halfcheetah-expert-v2,2,14.0,mpi1,mpi3,0.1656092360128765,0.5938025272531969,0.27889614545587954,0.25236598117208514,512
halfcheetah-expert-v2,2,14.0,mpi2,mpi3,0.13790594370433115,0.5121517816143515,0.26926772229443074,0.25236598117208514,512
halfcheetah-expert-v2,2,17.0,mpi1,mpi2,0.47895685490219264,0.9465420953486253,0.5060069248434068,0.26556209447724227,512
halfcheetah-expert-v2,2,17.0,mpi1,mpi3,0.4806031064310714,0.9497955123436362,0.5060069248434068,0.26511271543384646,512
halfcheetah-expert-v2,2,17.0,mpi2,mpi3,0.14221702023764105,0.5355320777899217,0.26556209447724227,0.26511271543384646,512
halfcheetah-expert-v2,2,20.0,mpi1,mpi2,0.17970206957455043,0.6328576518678067,0.27243973396671833,0.2839533804231969,512
halfcheetah-expert-v2,2,20.0,mpi1,mpi3,0.1747734832339334,0.6415124574129999,0.27243973396671833,0.2687223884051281,512
halfcheetah-expert-v2,2,20.0,mpi2,mpi3,0.178463032212476,0.6284941279674122,0.2839533804231969,0.2687223884051281,512
halfcheetah-expert-v2,3,0.05,mpi1,mpi2,0.059265919288007375,0.3052811629513259,0.18927780294858557,0.19413552646042806,512
halfcheetah-expert-v2,3,0.05,mpi1,mpi3,0.0641537414619188,0.3289873765144442,0.18927780294858557,0.19500365680171355,512
halfcheetah-expert-v2,3,0.05,mpi2,mpi3,0.05035102623037807,0.25820554884043395,0.19413552646042806,0.19500365680171355,512
halfcheetah-expert-v2,3,0.1,mpi1,mpi2,0.055177512465419465,0.2837365662810671,0.1903823185085782,0.19446740047865765,512
halfcheetah-expert-v2,3,0.1,mpi1,mpi3,0.06316973805083675,0.32404692135003277,0.1903823185085782,0.1949400962911829,512
halfcheetah-expert-v2,3,0.1,mpi2,mpi3,0.05247840328333087,0.26920271550981306,0.19446740047865765,0.1949400962911829,512
halfcheetah-expert-v2,3,0.2,mpi1,mpi2,0.05217373436600271,0.2688780867679502,0.19157527524727827,0.19404234459251485,512
halfcheetah-expert-v2,3,0.2,mpi1,mpi3,0.060115035824736665,0.30734155419862397,0.19157527524727827,0.19559683682046602,512
halfcheetah-expert-v2,3,0.2,mpi2,mpi3,0.051410999250858,0.26284167007285,0.19404234459251485,0.19559683682046602,512
halfcheetah-expert-v2,3,0.4,mpi1,mpi2,0.05491107534120596,0.28243215051200493,0.1902942009871489,0.19442218331610212,512
halfcheetah-expert-v2,3,0.4,mpi1,mpi3,0.06143878934622458,0.31550744505750494,0.1902942009871489,0.19473007787510888,512
halfcheetah-expert-v2,3,0.4,mpi2,mpi3,0.05051557169020708,0.25941329783992334,0.19442218331610212,0.19473007787510888,512
halfcheetah-expert-v2,3,1.5,mpi1,mpi2,0.057695884152164915,0.29179432273238404,0.19535745190217926,0.1977279188021765,512
halfcheetah-expert-v2,3,1.5,mpi1,mpi3,0.0598460779761666,0.299371195714834,0.19535745190217926,0.19990593227670767,512
halfcheetah-expert-v2,3,1.5,mpi2,mpi3,0.054837152620677655,0.2743147839393413,0.1977279188021765,0.19990593227670767,512
halfcheetah-expert-v2,3,2.5,mpi1,mpi2,0.06194118401230388,0.30982976423196196,0.19717173053887685,0.19992005663448795,512
halfcheetah-expert-v2,3,2.5,mpi1,mpi3,0.06586752331596422,0.32361522734267734,0.19717173053887685,0.2035365389225547,512
halfcheetah-expert-v2,3,2.5,mpi2,mpi3,0.05402400588454643,0.26542657240085266,0.19992005663448795,0.2035365389225547,512
halfcheetah-expert-v2,3,4.0,mpi1,mpi2,0.06679946285856216,0.3223101825730096,0.20308908619312208,0.2072521020753999,512
halfcheetah-expert-v2,3,4.0,mpi1,mpi3,0.07171135686954332,0.3425665556007262,0.20308908619312208,0.20933554574173177,512
