environment,seed,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
hopper-medium-v2,2,implicit,0.05,0.05,0.1,0.00017884740507840126,0.0006832562743424262,0.26145619268132886,0.2614562139583088,0.953125,True
hopper-medium-v2,2,explicit,0.1,0.1,0.2,0.0009332502035109639,0.003552925538372847,0.2621325609074376,0.2621143873804038,1.0,True
hopper-medium-v2,2,implicit,0.1,0.1,0.2,0.00022751209685369203,0.0008751902470292906,0.2592818542050935,0.2592835038282989,0.94140625,True
hopper-medium-v2,2,explicit,0.2,0.2,0.4,0.0016497563681042093,0.006235658484145534,0.26340960107341943,0.2635558338650854,1.0,True
hopper-medium-v2,2,implicit,0.2,0.2,0.4,0.00047600562868757666,0.0017769410551415493,0.2673394157823804,0.26733570909820564,0.912109375,True
hopper-medium-v2,2,explicit,1.5,2.5,4.0,0.03349478760108995,0.04580588591094594,0.23707409387034142,0.2333745072627935,1.0,True
hopper-medium-v2,2,implicit,1.5,2.5,4.0,0.07445396789674585,0.10375275276001975,0.23878890032609498,0.23814279976222447,0.6015625,True
hopper-medium-v2,2,explicit,4.0,10.0,14.0,0.08679143464856841,0.08342083482516713,0.21903763520125213,0.1798157581594462,1.0,True
hopper-medium-v2,2,implicit,4.0,10.0,14.0,0.06732625248869946,0.06446907441036712,0.12034354740320001,0.1309323665445423,0.98046875,True
hopper-medium-v2,2,explicit,7.0,7.0,14.0,0.0662762883902572,0.0637024071443896,0.21903763520125213,0.18417460410614686,1.0,True
hopper-medium-v2,2,implicit,7.0,7.0,14.0,0.06851921430740955,0.06587533026747734,0.1201134536223351,0.12172883815221974,0.978515625,True
hopper-medium-v2,2,explicit,7.0,10.0,17.0,0.07165266047793624,0.06906405195570058,0.2438533870088024,0.21605204245946705,1.0,True
hopper-medium-v2,2,implicit,7.0,10.0,17.0,0.08560047514839493,0.08262433484340027,0.18432425597513133,0.1706381998035447,0.978515625,True
hopper-medium-v2,2,explicit,10.0,10.0,20.0,0.09041487417103149,0.08465122522373977,0.5014665058156226,0.47580792585500137,1.0,True
hopper-medium-v2,2,implicit,10.0,10.0,20.0,0.0462168414470382,0.0432656654051404,0.4521579847735264,0.4432509225869727,0.99609375,True
hopper-medium-v2,3,explicit,0.05,0.05,0.1,0.0003929054745333411,0.00148144687887487,0.2647184057439054,0.26470868091930977,1.0,True
hopper-medium-v2,3,implicit,0.05,0.05,0.1,8.050903147005712e-05,0.00030365453451202626,0.26471744165867833,0.26471744741997455,0.95703125,True
hopper-medium-v2,3,explicit,0.1,0.1,0.2,0.00028966653215876047,0.001087263830059299,0.26570663649184867,0.26571107964631263,1.0,True
hopper-medium-v2,3,implicit,0.1,0.1,0.2,0.0002220599640360269,0.0008352698025386304,0.26511729977267917,0.26511770119532846,0.9375,True
hopper-medium-v2,3,explicit,0.2,0.2,0.4,0.0006840028994180381,0.002561052072125248,0.2655650937634621,0.26557301107412645,1.0,True
hopper-medium-v2,3,implicit,0.2,0.2,0.4,0.0005705841931934262,0.0021475733302779893,0.2645925799291315,0.264576125291055,0.91796875,True
hopper-medium-v2,3,explicit,1.5,2.5,4.0,0.011998235285079208,0.04419103945505333,0.2629667566995391,0.26212696941020586,1.0,True
hopper-medium-v2,3,implicit,1.5,2.5,4.0,0.0035446438620127577,0.013212121367682404,0.26537499442878376,0.26537708880892164,0.541015625,True
hopper-medium-v2,3,explicit,4.0,10.0,14.0,0.10429377879471641,0.09955344132026878,0.35456138164466267,0.320464721850488,1.0,True
hopper-medium-v2,3,implicit,4.0,10.0,14.0,0.06683058881605769,0.06296418137626066,0.3574956057915548,0.35109950969571413,0.576171875,True
hopper-medium-v2,3,explicit,7.0,7.0,14.0,0.08251940964492398,0.07876875592013109,0.35456138164466267,0.32625177838501285,1.0,True
hopper-medium-v2,3,implicit,7.0,7.0,14.0,0.07522836616533324,0.07180910331575412,0.30174548869868156,0.29524559945927287,1.0,True
hopper-medium-v2,3,explicit,7.0,10.0,17.0,0.09849733341290065,0.09318222542476752,0.31316986695316507,0.2811461085582856,1.0,True
hopper-medium-v2,3,implicit,7.0,10.0,17.0,0.11653597146281389,0.11024746342544066,0.25512007510008167,0.24774015433445837,1.0,True
hopper-medium-v2,3,explicit,10.0,10.0,20.0,0.10479538177089014,0.09861505913555356,0.2601350428676663,0.21118717658901173,1.0,True
