environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-expert-v2,3,mpi3,explicit,7.0,10.0,17.0,0.19889651867588234,0.17051183848877977,0.6912902055178992,0.1844553777758328,0.6903590216000403,0.15170184585219199,0.26718761109012795,0.19359651537622785,0.2638291737679741,0.8542308461721516,0.21779235801411861,0.7051720157371486,0.1824670046833914,0.5907949510779695,1.0,True,1,0.0,0.908203125,True,512
halfcheetah-expert-v2,3,mpi3,implicit,7.0,10.0,17.0,0.12375525480880073,0.11423342837195838,0.513056197396329,0.11796874055213051,0.5086342142860639,0.09638767490560891,0.23193237347927018,0.4760643081055735,0.5230882258883457,1.1155218911703422,0.5246568955765019,1.1188671879874934,0.017252360474108646,0.036791854281457495,0.00390625,False,200,0.8061825037002563,0.904296875,True,512
halfcheetah-expert-v2,3,mpi3,explicit,10.0,10.0,20.0,0.198433475068737,0.198433475068737,0.6979524605978799,0.0,0.0,0.15671706018192302,0.2843080098876003,0.2158395133390756,0.28167013706463356,0.7958921483932264,0.22169053883357803,0.6264127289795763,0.20508759487830422,0.5794991552797736,1.0,True,1,0.0,0.904296875,True,512
halfcheetah-expert-v2,3,mpi3,implicit,10.0,10.0,20.0,0.14121062066849482,0.14121062066849482,0.531912683851455,0.0,0.0,0.13140470513229635,0.2654770697438945,0.22863479087823846,0.1869285004270335,0.7684572622426759,0.18720375230683475,0.7695888141756129,0.002034143512269948,0.008362300830941683,0.0078125,False,200,0.9083812236785889,0.888671875,True,512
hopper-medium-v2,2,mpi1,explicit,0.05,0.05,0.1,0.04310421337390267,0.04310421337390267,0.16419286575020645,0.0,0.0,0.043146302479444114,0.2625218408665754,0.26264533185651184,0.26220991791752224,0.9988118209592639,0.2622109183576015,0.9988156318424878,0.0003555787217241584,0.0013544729099506752,1.0,True,1,0.0,0.013671875,True,512
hopper-medium-v2,2,mpi1,implicit,0.05,0.05,0.1,0.043244451301226436,0.043244451301226436,0.1650564557314868,0.0,0.0,0.04327160915166315,0.2619979394903301,0.2617494641766364,0.26145619268132886,0.9988491811602703,0.2614562139583088,0.9988492624453751,0.00017884740507840126,0.0006832562743424262,0.953125,False,200,0.0062029361724853516,0.013671875,True,512
hopper-medium-v2,2,mpi1,explicit,0.1,0.1,0.2,0.0449490071204054,0.0449490071204054,0.17112289364822528,0.0,0.0,0.04497793927539553,0.26267091539958637,0.26220991791752224,0.2621325609074376,0.9979504602124304,0.2621143873804038,0.9978812727768663,0.0009332502035109639,0.003552925538372847,1.0,True,1,0.0,0.017578125,True,512
hopper-medium-v2,2,mpi1,implicit,0.1,0.1,0.2,0.044927028882958936,0.044927028882958936,0.1712374368623447,0.0,0.0,0.04496532277463371,0.2623668615121536,0.25990377642473356,0.2592818542050935,0.997401690591846,0.2592835038282989,0.9974080363385586,0.00022751209685369203,0.0008751902470292906,0.94140625,False,200,0.00303787924349308,0.017578125,True,512
hopper-medium-v2,2,mpi1,explicit,0.2,0.2,0.4,0.044297495743964195,0.044297495743964195,0.16743324075158408,0.0,0.0,0.04383621926441544,0.26456810813145,0.2621325609074376,0.26340960107341943,0.9956211386693102,0.2635558338650854,0.9961738613413615,0.0016497563681042093,0.006235658484145534,1.0,True,1,0.0,0.01953125,True,512
hopper-medium-v2,2,mpi1,implicit,0.2,0.2,0.4,0.044428132987893616,0.044428132987893616,0.16750587410484535,0.0,0.0,0.04399236817601104,0.2652332834613617,0.2658436934344762,0.2673394157823804,0.9979848029760634,0.26733570909820564,0.9979709658302575,0.00047600562868757666,0.0017769410551415493,0.912109375,False,200,0.0056612491607666016,0.01953125,True,512
hopper-medium-v2,2,mpi1,explicit,1.5,2.5,4.0,0.7085787868735941,0.7051834916486368,0.9666971829533408,0.13664745602459422,0.18687259209489313,0.6996811688259513,0.7312332669694291,0.2614871034480493,0.23707409387034142,0.32421130790846914,0.2333745072627935,0.31915192839899914,0.03349478760108995,0.04580588591094594,1.0,True,1,0.0,0.0703125,True,512
hopper-medium-v2,2,mpi1,implicit,1.5,2.5,4.0,0.6797076792113375,0.6793544078123304,0.9469589671236728,0.12535848885830012,0.17469304200724572,0.6744771476162742,0.7175929127910008,0.2763884629658918,0.23878890032609498,0.3327560160625525,0.23814279976222447,0.3318556649603207,0.07445396789674585,0.10375275276001975,0.6015625,False,200,0.15336188673973083,0.06640625,True,512
