environment,T,seed,hop_index,ref_actor,new_actor,delta_L,q_term,transport_mean_sq,mean_q_gain,return_delta,j_ref,j_new,label,optimizer_diverged,c_k
walker2d-medium-replay-v2,4,1,2,mart_mu1,mart_mu2,0.01034920052957845,-0.017883243058960545,0.028232443588538995,1.7445157450129045,-12.130586675825441,83.30178844696987,71.17120177114442,objective_not_up_return_down,False,0.010251121613596132
walker2d-medium-replay-v2,4,1,3,mart_mu2,mart_mu3,0.00496158699989243,-0.011983433475952755,0.016945020475845184,1.1765112002904061,16.462079595560695,71.17120177114442,87.63328136670512,other_obj_not_up_return_up,False,0.01018556684627805
walker2d-medium-replay-v2,4,1,4,mart_mu3,mart_mu4,0.005938097696565623,-0.009248985123711964,0.015187082820277586,0.9129463601639145,1.3396737755060428,87.63328136670512,88.97295514221116,other_obj_not_up_return_up,False,0.010130918449635266
walker2d-medium-replay-v2,7,0,2,mart_mu1,mart_mu2,0.007126310964840968,-0.02453936961163354,0.03166568057647451,1.5163626462308457,-2.0708383015430627,89.66569764609866,87.5948593445556,objective_not_up_return_down,False,0.016183048080635556
walker2d-medium-replay-v2,7,0,3,mart_mu2,mart_mu3,0.005761267613859769,-0.017585883601193415,0.023347151215053184,1.094027640472632,1.819105779016752,87.5948593445556,89.41396512357235,other_obj_not_up_return_up,False,0.016074441769676057
walker2d-medium-replay-v2,7,0,4,mart_mu3,mart_mu4,0.008485533211868118,-0.011673249165626011,0.02015878237749413,0.7296450491739961,-0.5820793880951101,89.41396512357235,88.83188573547724,other_obj_not_up_return_flat,False,0.015998531311684855
walker2d-medium-replay-v2,7,1,2,mart_mu1,mart_mu2,0.006711161306855118,-0.025022664982958943,0.03173382628981406,1.5536545661416312,12.29534893793722,77.8848102715212,90.18015920945842,other_obj_not_up_return_up,False,0.016105681100722795
walker2d-medium-replay-v2,7,1,3,mart_mu2,mart_mu3,0.004159949133622748,-0.018755577783758567,0.022915526917381315,1.1725741555310378,-0.9816984894619054,90.18015920945842,89.19846071999652,other_obj_not_up_return_flat,False,0.01599521675903261
walker2d-medium-replay-v2,7,1,4,mart_mu3,mart_mu4,0.00937318531583819,-0.012157931569266372,0.021531116885104562,0.7639763924526051,-3.5455945941977802,89.19846071999652,85.65286612579874,objective_not_up_return_down,False,0.015914014738381613
walker2d-medium-v2,10,0,2,mart_mu1,mart_mu2,0.00013128416931799253,-0.007845556289634304,0.007976840458952297,0.49885565671138465,4.599919630875405,88.44232008614028,93.04223971701569,other_obj_not_up_return_up,False,0.015727106997953495
walker2d-medium-v2,10,0,3,mart_mu2,mart_mu3,0.0008709955380693897,-0.006018066814080479,0.006889062352149869,0.3832560903392732,-0.16423774780970746,93.04223971701569,92.87800196920598,other_obj_not_up_return_flat,False,0.015702468834227924
walker2d-medium-v2,10,0,4,mart_mu3,mart_mu4,0.002330605803586877,-0.0046389589158351485,0.0069695647194220256,0.2957842005416751,-0.6456202815091814,92.87800196920598,92.2323816876968,other_obj_not_up_return_flat,False,0.015683592657551475
walker2d-medium-v2,10,1,2,mart_mu1,mart_mu2,-0.0006678125754117836,-0.008203351151669385,0.007535538576257601,0.5226877558161505,4.785771992668842,85.58870254542911,90.37447453809796,objective_up_return_up,False,0.01569455389070721
walker2d-medium-v2,10,1,3,mart_mu2,mart_mu3,0.0005495033728667147,-0.00579409234162827,0.0063435957144949845,0.3697811033343896,2.137854098443512,90.37447453809796,92.51232863654147,other_obj_not_up_return_up,False,0.0156689789969844
walker2d-medium-v2,10,1,4,mart_mu3,mart_mu4,0.002916246095287311,-0.005482775654216344,0.008399021749503655,0.3503168716561049,0.5004183039877574,92.51232863654147,93.01274694052923,other_obj_not_up_return_flat,False,0.015650903789751276
walker2d-medium-v2,14,0,2,mart_mu1,mart_mu2,-0.0022169761377799427,-0.01262660157711327,0.010409625439333327,0.5913707972504199,5.175729811966804,88.33908419454475,93.51481400651156,objective_up_return_up,False,0.021351412068064044
walker2d-medium-v2,14,0,3,mart_mu2,mart_mu3,0.0012162485469650736,-0.009454956428045669,0.010671204975010742,0.4436245816759765,1.5447152167438531,93.51481400651156,95.05952922325541,other_obj_not_up_return_up,False,0.021312967807883044
